TestName,TestOutcomeName,TestOutcome
org.apache.tools.ant.taskdefs.ConditionTest@testIstrue,pass,1
org.apache.tools.ant.filters.HeadTailTest@testTailSkip,error,0
org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest@testCheckoutExceptions,pass,1
org.apache.tools.ant.taskdefs.InputTest@testGreedyInlineHandlerClassname,error,0
org.apache.tools.ant.taskdefs.FailTest@testUnless,pass,1
org.apache.tools.ant.taskdefs.ProtectedJarMethodsTest@testFindJarNameSimpleMatches,pass,1
org.apache.tools.ant.taskdefs.NiceTest@testFaster,pass,1
org.apache.tools.ant.taskdefs.optional.sos.SOSTest@testGetFileFlags,pass,1
org.apache.tools.ant.taskdefs.condition.IsSignedTest@testPassword,pass,1
org.apache.tools.ant.util.LayoutPreservingPropertiesTest@testClone,pass,1
org.apache.tools.ant.types.XMLCatalogTest@testCircularReferenceCheck,pass,1
org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest@testLabelCommandLine2,pass,1
org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest@testLabelCommandLine1,pass,1
org.apache.tools.ant.taskdefs.optional.EchoPropertiesTest@testWithEmptyPrefixAndRegex,pass,1
org.apache.tools.ant.types.PatternSetTest@testEmptyElementIfIsReference,pass,1
org.apache.tools.ant.util.StringUtilsTest@testSplit,pass,1
org.apache.tools.ant.util.FileUtilsTest@testCreateNewFile,pass,1
org.apache.tools.ant.PropertyFileCLITest@testPropertyResolution,pass,1
org.apache.tools.ant.taskdefs.AvailableTest@testDoubleBasedir,pass,1
org.apache.tools.ant.taskdefs.PreSetDefTest@testDefaultTest,pass,1
org.apache.tools.ant.taskdefs.ChecksumTest@testVerifyTotalRC,error,0
org.apache.tools.ant.taskdefs.GzipTest@testResource,pass,1
org.apache.tools.ant.taskdefs.EchoXMLTest@testEmpty,pass,1
org.apache.tools.ant.DirectoryScannerTest@testAbsolute1,pass,1
